Course Code,Course Name,Course Type,Course Status,Country/Territory,Course Skill,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Specialization,Course Hours,Estimated Housing,Estimated Transportation,Estimated Tuition,Estimated Other,Year,Participants,Main Domain
A18741,LEADERSHIP OPTIMISTE ET AUTHENTIQUE Module 1,Classroom,Active,France,Leadership Development,Discretionary,The CAMP,Local,Live Meeting,Classroom,"Organization, Leadership & Culture",16.0,0.0,0.0,0.0,0.0,2021,3.0,Leadership Development
A18803,Training Inclusion & Diversity for HR,Classroom,Active,France,Inclusion & Diversity Program Design,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,8.0,0.0,0.0,3000.0,0.0,2021,43.0,Leadership Development
A18803,Training Inclusion & Diversity for HR,Classroom,Active,France,Inclusion & Diversity Program Design,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,8.0,0.0,0.0,3000.0,0.0,2021,43.0,Leadership Development
A18951,CEO & Enterprise Strategy (with Life Sciences & High-Tech Industry Exemplars),Classroom,Cancelled,France,Leadership Development,Discretionary,SHM,Central,Zoom,Virtual,"Organization, Leadership & Culture",1.5,0.0,0.0,60.0,0.0,2020,14.0,Industry/Fonction
A18988,CFO & Enterprise Value with Retail & CGS Industry Exemplars,Classroom,Cancelled,France,Leadership Development,Discretionary,SHM,Central,Zoom,Virtual,"Organization, Leadership & Culture",1.5,0.0,0.0,20.0,0.0,2020,10.0,Industry/Fonction
A19054,RTR_The Data Driven Leader,Classroom,Active,France,Big Data Analytics,Discretionary,Accenture Central,Central,-,Classroom,Data Engineering,16.0,280.0,405.0,540.0,0.0,2020,70.0,Cross Accenture
A19083,VIRTUAL - DDD: Domain Driven DDD01,Classroom,Cancelled,France,Accenture Cloud Studio (ACS) Metadata Intelligence,Discretionary,OCTO,Local,MS Teams,Virtual,-,14.0,0.0,0.0,2747.4,0.0,2021,6.0,Cross Accenture
A19083,VIRTUAL - DDD: Domain Driven DDD01,Classroom,Cancelled,France,Accenture Cloud Studio (ACS) Metadata Intelligence,Discretionary,OCTO,Local,MS Teams,Virtual,-,14.0,0.0,0.0,2747.4,0.0,2021,6.0,Cross Accenture
A19097,CLOUD NATIVE TECH SERIES,Classroom,Active,France,Multiplatform Front End Development Angular,Discretionary,Accenture Local,Local,MS Teams,Virtual,Javascript Full-Stack Engineering,1.0,0.0,0.0,0.0,0.0,2020,6.0,Cloud First
A19097,CLOUD NATIVE TECH SERIES,Classroom,Active,France,Multiplatform Front End Development Angular,Discretionary,Accenture Local,Local,MS Teams,Virtual,Javascript Full-Stack Engineering,1.0,0.0,0.0,0.0,0.0,2020,6.0,Cloud First
A19097,CLOUD NATIVE TECH SERIES,Classroom,Active,France,Multiplatform Front End Development Angular,Discretionary,Accenture Local,Local,MS Teams,Virtual,Javascript Full-Stack Engineering,1.0,0.0,0.0,0.0,0.0,2021,26.0,Cloud First
A19097,CLOUD NATIVE TECH SERIES,Classroom,Active,France,Multiplatform Front End Development Angular,Discretionary,Accenture Local,Local,MS Teams,Virtual,Javascript Full-Stack Engineering,1.0,0.0,0.0,0.0,0.0,2021,26.0,Cloud First
A19157,Technology Strategy & Advisory with CGS & Banking Industry Exemplars,Classroom,Cancelled,France,Leadership Development,Discretionary,SHM,Central,Zoom,Virtual,"Organization, Leadership & Culture",1.5,0.0,0.0,40.0,0.0,2021,8.0,Cross Technology
A19234,Supply Chain & Operations with CG&S Industry Exemplars,Classroom,Cancelled,France,Leadership Development,Discretionary,SHM,Central,Zoom,Virtual,"Organization, Leadership & Culture",1.5,0.0,0.0,80.0,0.0,2020,10.0,Industry/Fonction
A19267,LES CLES DU COACHING : OUTILS DU MANAGER COACH,Classroom,Active,France,Coaching,Discretionary,PCF,Local,MS Teams,Virtual,-,3.5,0.0,0.0,172.08,0.0,2021,25.0,Leadership Development
A19267,LES CLES DU COACHING : OUTILS DU MANAGER COACH,Classroom,Active,France,Coaching,Discretionary,PCF,Local,MS Teams,Virtual,-,3.5,0.0,0.0,172.08,0.0,2021,25.0,Leadership Development
A19267,LES CLES DU COACHING : OUTILS DU MANAGER COACH,Classroom,Active,France,Coaching,Discretionary,PCF,Local,MS Teams,Virtual,-,3.5,0.0,0.0,172.08,0.0,2022,48.0,Leadership Development
A19267,LES CLES DU COACHING : OUTILS DU MANAGER COACH,Classroom,Active,France,Coaching,Discretionary,PCF,Local,MS Teams,Virtual,-,3.5,0.0,0.0,172.08,0.0,2022,48.0,Leadership Development
A19292,Virtual NTATC - Team Lead School,Classroom,Active,France,Delivery Excellence,Discretionary,Accenture Local,Local,MS Teams,Virtual,Complex Program Delivery,7.0,0.0,0.0,0.0,0.0,2021,7.0,Cross Accenture
A19292,Virtual NTATC - Team Lead School,Classroom,Active,France,Delivery Excellence,Discretionary,Accenture Local,Local,MS Teams,Virtual,Complex Program Delivery,7.0,0.0,0.0,0.0,0.0,2021,7.0,Cross Accenture
A19292,Virtual NTATC - Team Lead School,Classroom,Active,France,Delivery Excellence,Discretionary,Accenture Local,Local,MS Teams,Virtual,Complex Program Delivery,7.0,0.0,0.0,0.0,0.0,2022,14.0,Cross Accenture
A19292,Virtual NTATC - Team Lead School,Classroom,Active,France,Delivery Excellence,Discretionary,Accenture Local,Local,MS Teams,Virtual,Complex Program Delivery,7.0,0.0,0.0,0.0,0.0,2022,14.0,Cross Accenture
A19346,Disruptive Analytics,Classroom,Cancelled,France,Data Analytics and Interpretation,Discretionary,Accenture Local,Local,MS Teams,Virtual,Data & Analytics Strategy,1.0,0.0,0.0,0.0,0.0,2020,2.0,Cross Accenture
A19680,VIRTUAL-NTATC - Formation certifiante Scrum,Classroom,Active,France,Scrum,Discretionary,Accenture Local,Local,MS Teams,Virtual,Agile,9.0,0.0,0.0,1600.0,0.0,2021,14.0,Core Curriculum
A19680,VIRTUAL-NTATC - Formation certifiante Scrum,Classroom,Active,France,Scrum,Discretionary,Accenture Local,Local,MS Teams,Virtual,Agile,9.0,0.0,0.0,1600.0,0.0,2021,14.0,Core Curriculum
A19680,VIRTUAL-NTATC - Formation certifiante Scrum,Classroom,Active,France,Scrum,Discretionary,Accenture Local,Local,MS Teams,Virtual,Agile,9.0,0.0,0.0,1800.0,0.0,2022,23.0,Core Curriculum
A19680,VIRTUAL-NTATC - Formation certifiante Scrum,Classroom,Active,France,Scrum,Discretionary,Accenture Local,Local,MS Teams,Virtual,Agile,9.0,0.0,0.0,1800.0,0.0,2022,23.0,Core Curriculum
A19755,VIRTUAL - REHDAT Academy,Classroom,Cancelled,France,Red Hat OpenShift,Discretionary,RedHat,Local,MS Teams,Virtual,Cloud Application Advisory,7.5,0.0,0.0,0.0,0.0,2020,42.0,Cross Accenture
A19854,Train the Trainer Facilitation Basics with Curve,Classroom,Active,France,Facilitation,Discretionary,elearning curve,Central,MS Teams,Virtual,-,5.5,0.0,0.0,675.0,0.0,2021,2.0,Cross Accenture
A19854,Train the Trainer Facilitation Basics with Curve,Classroom,Active,France,Facilitation,Discretionary,elearning curve,Central,MS Teams,Virtual,-,5.5,0.0,0.0,675.0,0.0,2021,2.0,Cross Accenture
A20227,Vitalité par le sommeil : comment optimiser vos 24h,Classroom,Active,France,Health Case Management,Discretionary,Accenture Central,Local,-,Classroom,Population Health,3.0,0.0,0.0,410.4,0.0,2019,17.0,Cross Accenture
A20227,Vitalité par le sommeil : comment optimiser vos 24h,Classroom,Active,France,Health Case Management,Discretionary,Accenture Local,Local,-,Classroom,Population Health,3.0,0.0,0.0,205.2,0.0,2020,43.0,Cross Accenture
A20257,CREATIVE PROBLEM SOLVING,Classroom,Active,France,Innovation Strategy & Management,Discretionary,Accenture Local,Local,Live Meeting,Classroom,-,8.0,0.0,0.0,91.74400000000001,0.0,2019,60.0,Cross Accenture
A20257,CREATIVE PROBLEM SOLVING,Classroom,Active,France,Innovation Strategy & Management,Discretionary,Accenture Local,Local,Live Meeting,Classroom,-,8.0,0.0,0.0,91.74400000000001,0.0,2019,60.0,Cross Accenture
A20257,CREATIVE PROBLEM SOLVING,Classroom,Active,France,Innovation Strategy & Management,Discretionary,Accenture Local,Local,Live Meeting,Classroom,-,8.0,0.0,0.0,91.74400000000001,0.0,2020,186.0,Cross Accenture
